Wed May 14 16:48:11 CEST 2014: Problem Count: 50
Wed May 14 16:48:11 CEST 2014: CandidatesCount: 20
Wed May 14 16:48:11 CEST 2014: Max Cycles: 500
Wed May 14 16:48:11 CEST 2014: 0: finished (132ms, 500cycles)
Wed May 14 16:48:11 CEST 2014: 0: No solution found.
Wed May 14 16:48:11 CEST 2014: 1: finished (148ms, 500cycles)
Wed May 14 16:48:11 CEST 2014: 1: No solution found.
Wed May 14 16:48:11 CEST 2014: 2: finished (143ms, 500cycles)
Wed May 14 16:48:11 CEST 2014: 2: No solution found.
Wed May 14 16:48:11 CEST 2014: 3: finished (151ms, 500cycles)
Wed May 14 16:48:11 CEST 2014: 3: No solution found.
Wed May 14 16:48:11 CEST 2014: 4: finished (139ms, 500cycles)
Wed May 14 16:48:11 CEST 2014: 4: No solution found.
Wed May 14 16:48:11 CEST 2014: 5: finished (142ms, 500cycles)
Wed May 14 16:48:11 CEST 2014: 5: No solution found.
Wed May 14 16:48:11 CEST 2014: 6: finished (1ms, 2cycles)
Wed May 14 16:48:11 CEST 2014: 6: Solution found.
Wed May 14 16:48:12 CEST 2014: 7: finished (133ms, 500cycles)
Wed May 14 16:48:12 CEST 2014: 7: No solution found.
Wed May 14 16:48:12 CEST 2014: 8: finished (134ms, 500cycles)
Wed May 14 16:48:12 CEST 2014: 8: No solution found.
Wed May 14 16:48:12 CEST 2014: 9: finished (141ms, 500cycles)
Wed May 14 16:48:12 CEST 2014: 9: No solution found.
Wed May 14 16:48:12 CEST 2014: 10: finished (140ms, 500cycles)
Wed May 14 16:48:12 CEST 2014: 10: No solution found.
Wed May 14 16:48:12 CEST 2014: 11: finished (133ms, 500cycles)
Wed May 14 16:48:12 CEST 2014: 11: No solution found.
Wed May 14 16:48:12 CEST 2014: 12: finished (156ms, 500cycles)
Wed May 14 16:48:12 CEST 2014: 12: No solution found.
Wed May 14 16:48:12 CEST 2014: 13: finished (135ms, 500cycles)
Wed May 14 16:48:12 CEST 2014: 13: No solution found.
Wed May 14 16:48:13 CEST 2014: 14: finished (143ms, 500cycles)
Wed May 14 16:48:13 CEST 2014: 14: No solution found.
Wed May 14 16:48:13 CEST 2014: 15: finished (133ms, 500cycles)
Wed May 14 16:48:13 CEST 2014: 15: No solution found.
Wed May 14 16:48:13 CEST 2014: 16: finished (134ms, 500cycles)
Wed May 14 16:48:13 CEST 2014: 16: No solution found.
Wed May 14 16:48:13 CEST 2014: 17: finished (132ms, 500cycles)
Wed May 14 16:48:13 CEST 2014: 17: No solution found.
Wed May 14 16:48:13 CEST 2014: 18: finished (5ms, 14cycles)
Wed May 14 16:48:13 CEST 2014: 18: Solution found.
Wed May 14 16:48:13 CEST 2014: 19: finished (145ms, 500cycles)
Wed May 14 16:48:13 CEST 2014: 19: No solution found.
Wed May 14 16:48:13 CEST 2014: 20: finished (133ms, 500cycles)
Wed May 14 16:48:13 CEST 2014: 20: No solution found.
Wed May 14 16:48:13 CEST 2014: 21: finished (149ms, 500cycles)
Wed May 14 16:48:13 CEST 2014: 21: No solution found.
Wed May 14 16:48:14 CEST 2014: 22: finished (140ms, 500cycles)
Wed May 14 16:48:14 CEST 2014: 22: No solution found.
Wed May 14 16:48:14 CEST 2014: 23: finished (4ms, 11cycles)
Wed May 14 16:48:14 CEST 2014: 23: Solution found.
Wed May 14 16:48:14 CEST 2014: 24: finished (139ms, 500cycles)
Wed May 14 16:48:14 CEST 2014: 24: No solution found.
Wed May 14 16:48:14 CEST 2014: 25: finished (145ms, 500cycles)
Wed May 14 16:48:14 CEST 2014: 25: No solution found.
Wed May 14 16:48:14 CEST 2014: 26: finished (145ms, 500cycles)
Wed May 14 16:48:14 CEST 2014: 26: No solution found.
Wed May 14 16:48:14 CEST 2014: 27: finished (140ms, 500cycles)
Wed May 14 16:48:14 CEST 2014: 27: No solution found.
Wed May 14 16:48:14 CEST 2014: 28: finished (135ms, 500cycles)
Wed May 14 16:48:14 CEST 2014: 28: No solution found.
Wed May 14 16:48:14 CEST 2014: 29: finished (151ms, 500cycles)
Wed May 14 16:48:14 CEST 2014: 29: No solution found.
Wed May 14 16:48:15 CEST 2014: 30: finished (141ms, 500cycles)
Wed May 14 16:48:15 CEST 2014: 30: No solution found.
Wed May 14 16:48:15 CEST 2014: 31: finished (129ms, 500cycles)
Wed May 14 16:48:15 CEST 2014: 31: No solution found.
Wed May 14 16:48:15 CEST 2014: 32: finished (136ms, 500cycles)
Wed May 14 16:48:15 CEST 2014: 32: No solution found.
Wed May 14 16:48:15 CEST 2014: 33: finished (133ms, 500cycles)
Wed May 14 16:48:15 CEST 2014: 33: No solution found.
Wed May 14 16:48:15 CEST 2014: 34: finished (134ms, 500cycles)
Wed May 14 16:48:15 CEST 2014: 34: No solution found.
Wed May 14 16:48:15 CEST 2014: 35: finished (138ms, 500cycles)
Wed May 14 16:48:15 CEST 2014: 35: No solution found.
Wed May 14 16:48:15 CEST 2014: 36: finished (3ms, 8cycles)
Wed May 14 16:48:15 CEST 2014: 36: Solution found.
Wed May 14 16:48:15 CEST 2014: 37: finished (143ms, 500cycles)
Wed May 14 16:48:15 CEST 2014: 37: No solution found.
Wed May 14 16:48:16 CEST 2014: 38: finished (136ms, 500cycles)
Wed May 14 16:48:16 CEST 2014: 38: No solution found.
Wed May 14 16:48:16 CEST 2014: 39: finished (140ms, 500cycles)
Wed May 14 16:48:16 CEST 2014: 39: No solution found.
Wed May 14 16:48:16 CEST 2014: 40: finished (6ms, 21cycles)
Wed May 14 16:48:16 CEST 2014: 40: Solution found.
